0, 995, 1000, 0
20, 0, 1000, 0
41, 995, 1000, 0
62, 987, 1000, 0
83, 0, 1000, 0
104, 995, 1000, 0
125, 0, 1000, 0
146, 993, 1000, 0
167, 983, 1000, 0
188, 0, 1000, 0
209, 995, 1000, 0
230, 0, 1000, 0
251, 988, 1000, 0
272, 994, 1000, 0
293, 0, 1000, 0
315, 995, 1000, 0
335, 0, 1000, 0
357, 994, 1000, 0
377, 614, 1000, 0
399, 0, 1000, 0
419, 995, 1000, 0
441, 0, 1000, 0
461, 995, 1000, 0
481, 995, 1000, 0
501, 0, 1000, 0
521, 994, 1000, 0
541, 1, 1000, 0
561, 0, 1000, 0
581, 995, 1000, 0
601, 0, 1000, 0
621, 224, 1000, 0
641, 995, 1000, 0
662, 0, 1000, 0
683, 994, 1000, 0
704, 0, 1000, 0
724, 993, 1000, 0
746, 994, 1000, 0
766, 0, 1000, 0
786, 994, 1000, 0
806, 0, 1000, 0
826, 18, 1000, 0
846, 995, 1000, 0
866, 0, 1000, 0
886, 994, 1000, 0
906, 159, 1000, 0
927, 0, 1000, 0
946, 995, 1000, 0
967, 0, 1000, 0
986, 391, 1000, 0
1007, 995, 1000, 0
1028, 0, 1000, 0
1049, 995, 1000, 0
1070, 1, 1000, 0
1091, 162, 1000, 0
1113, 995, 1000, 0
1133, 0, 1000, 0
1155, 994, 1000, 0
1175, 0, 1000, 0
1195, 14, 1000, 0
1215, 995, 1000, 0
1236, 0, 1000, 0
1257, 995, 1000, 0
1278, 0, 1000, 0
1300, 60, 1000, 0
1320, 995, 1000, 0
1342, 0, 1000, 0
1362, 995, 1000, 0
1382, 6, 1000, 0
1402, 0, 1000, 0
1422, 995, 1000, 0
1443, 0, 1000, 0
1462, 115, 1000, 0
1483, 995, 1000, 0
1504, 0, 1000, 0
1525, 995, 1000, 0
1546, 0, 1000, 0
1567, 992, 1000, 0
1589, 994, 1000, 0
1609, 0, 1000, 0
1631, 995, 1000, 0
1651, 0, 1000, 0
1671, 105, 1000, 0
1691, 994, 1000, 0
1711, 1, 1000, 0
1732, 995, 1000, 0
1751, 2, 1000, 0
1772, 0, 1000, 0
1793, 995, 1000, 0
1814, 0, 1000, 0
1835, 995, 1000, 0
1856, 4, 1000, 0
